member;Filament;0;;;;
member;Height;0;;;;
member;Lowness;0;;;;
member;Depth;0;;;;
member;Shallowness;0;;;;
member;Summit;0;;;;
member;Base;0;;;;
member;Verticality;0;;;;
member;Horizontality;0;;;;
member;Pendency;0;;;;
member;Support;0;;;;
member;Parallelism;0;;;;
member;Perpendicularity;0;;;;
member;Obliquity;0;;;;
member;Inversion;0;;;;
member;Crossing;0;;;;
member;Exteriority;0;;;;
member;Interiority;0;;;;
member;Centrality;0;;;;
member;Covering;0;;;;
member;Lining;0;;;;
member;Clothing;0;;;;
member;Divestment;0;;;;
member;Circumjacence;0;;;;
member;Interposition;0;;;;
member;Circumscription;0;;;;
member;Outline;0;;;;
member;Edge;0;;;;
member;Inclosure;0;;;;
member;Limit;0;;;;
member;Front;0;;;;
member;Rear;0;;;;
member;Laterality;0;;;;
member;Contraposition;0;;;;
member;Dextrality;0;;;;
member;Sinistrality;0;;;;
member;Form;0;;;;
member;Amorphism;0;;;;
member;Symmetry;0;;;;
member;Distortion;0;;;;
member;Angularity;0;;;;
member;Curvature;0;;;;
member;Straightness;0;;;;
member;Circularity;0;;;;
member;Convolution;0;;;;
member;Rotundity;0;;;;
member;Convexity;0;;;;
member;Flatness;0;;;;
member;Concavity;0;;;;
member;Sponge;0;;;;
member;Sharpness;0;;;;
member;Bluntness;0;;;;
member;Smoothness;0;;;;
member;Roughness;0;;;;
member;Notch;0;;;;
member;Fold;0;;;;
member;Furrow;0;;;;
member;Opening;0;;;;
member;Closure;0;;;;
member;Perforator;0;;;;
member;Stopper;0;;;;
member;Motion;0;;;;
member;Quiescence;0;;;;
member;Journey;0;;;;
member;Navigation;0;;;;
member;Traveler;0;;;;
member;Mariner;0;;;;
member;Transference;0;;;;
member;Carrier;0;;;;
member;Vehicle;0;;;;
member;Ship;0;;;;
member;Velocity;0;;;;
member;Slowness;0;;;;
member;Impulse;0;;;;
member;Recoil;0;;;;
member;Direction;0;;;;
member;Deviation;0;;;;
member;Precession;0;;;;
member;Sequence;0;;;;
member;Progression;0;;;;
member;Regression;0;;;;
member;Propulsion;0;;;;
member;Traction;0;;;;
member;Approach;0;;;;
member;Recession;0;;;;
member;Attraction;0;;;;
member;Repulsion;0;;;;
member;Convergence;0;;;;
member;Divergence;0;;;;
member;Arrival;0;;;;
member;Departure;0;;;;
member;Ingress;0;;;;
member;Egress;0;;;;
member;Reception;0;;;;
member;Ejection;0;;;;
member;Food;0;;;;
member;Excretion;0;;;;
member;Insertion;0;;;;
member;Extraction;0;;;;
member;Passage;0;;;;
member;Transcursion;0;;;;
member;Shortcoming;0;;;;
member;Ascent;0;;;;
member;Descent;0;;;;
